------------------------------------------------------------
 Id-Vg at Vd=0.6 and Vs=0
------------------------------------------------------------
Vg (V), Id (A)
                   0,         2.202596e-17
                0.05,          1.74691e-16
                 0.1,        1.3134378e-15
                0.15,        9.3564617e-15
                 0.2,        6.2734563e-14
                0.25,        4.5480996e-13
                 0.3,        2.1225137e-12
                0.35,        1.7123206e-11
                 0.4,        9.8817493e-11
                0.45,        1.0139444e-09
                 0.5,        5.5860855e-09
                0.55,        3.9301346e-08
                 0.6,        1.2151535e-07

